지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
108,2024-12-01 00:01,2.8,0,39.4,1.6,1005,1015.7,93.1,0,0
108,2024-12-01 00:02,2.8,0,49.1,1.3,1005,1015.7,92.7,0,0
108,2024-12-01 00:03,2.8,0,45.8,1.2,1005,1015.7,92.9,0,0
108,2024-12-01 00:04,2.8,0,49.3,1.3,1005,1015.7,92.8,0,0
108,2024-12-01 00:05,2.8,0,59.9,1.1,1005,1015.7,92.6,0,0
108,2024-12-01 00:06,2.8,0,58.9,1.3,1005,1015.7,92.8,0,0
108,2024-12-01 00:07,2.8,0,59.8,1.6,1005,1015.7,92.7,0,0
108,2024-12-01 00:08,2.7,0,62.8,1.8,1005.1,1015.8,92.5,0,0
108,2024-12-01 00:09,2.8,0,43,1.3,1005.1,1015.8,93,0,0
108,2024-12-01 00:10,2.8,0,56.9,1.2,1005.1,1015.8,93.2,0,0
108,2024-12-01 00:11,2.7,0,56.3,1.3,1005.1,1015.8,92.9,0,0
108,2024-12-01 00:12,2.7,0,59.5,1.5,1005.1,1015.8,92.7,0,0
108,2024-12-01 00:13,2.7,0,63.6,1.8,1005.1,1015.8,92.8,0,0
108,2024-12-01 00:14,2.7,0,56.3,2,1005.1,1015.8,92.9,0,0
108,2024-12-01 00:15,2.7,0,53.3,1.7,1005.1,1015.8,93,0,0
108,2024-12-01 00:16,2.7,0,38,1.5,1005.1,1015.8,93.2,0,0
108,2024-12-01 00:17,2.7,0,44.5,1.4,1005.1,1015.8,93,0,0
108,2024-12-01 00:18,2.7,0,41.2,1.3,1005.1,1015.8,93,0,0
108,2024-12-01 00:19,2.7,0,36.9,1.6,1005.1,1015.8,93,0,0
108,2024-12-01 00:20,2.7,0,37.1,1.4,1005.1,1015.8,92.9,0,0
108,2024-12-01 00:21,2.7,0,23.5,1.8,1005.1,1015.8,92.9,0,0
108,2024-12-01 00:22,2.7,0,19,2.1,1005.1,1015.8,92.9,0,0
108,2024-12-01 00:23,2.7,0,19,1.9,1005.1,1015.8,93.1,0,0
108,2024-12-01 00:24,2.7,0,30,1.8,1005,1015.7,93.3,0,0
108,2024-12-01 00:25,2.7,0,21.5,2,1005.1,1015.8,93.2,0,0
108,2024-12-01 00:26,2.7,0,39.1,1.8,1005.1,1015.8,93.1,0,0
108,2024-12-01 00:27,2.7,0,31.9,1.7,1005.1,1015.8,93.3,0,0
108,2024-12-01 00:28,2.7,0,46.6,1.7,1005.1,1015.8,93.3,0,0
108,2024-12-01 00:29,2.7,0,46.4,1.5,1005.1,1015.8,93.4,0,0
108,2024-12-01 00:30,2.7,0,56.4,1.2,1005.1,1015.8,93.7,0,0
108,2024-12-01 00:31,2.6,0,62.5,1.1,1005.1,1015.8,93.4,0,0
108,2024-12-01 00:32,2.6,0,67.2,.7,1005.1,1015.8,93.2,0,0
108,2024-12-01 00:33,2.6,0,47.9,.7,1005.1,1015.8,93.1,0,0
108,2024-12-01 00:34,2.6,0,55.4,1.2,1005.1,1015.8,93.5,0,0
108,2024-12-01 00:35,2.6,0,57.3,1,1005.1,1015.8,93.7,0,0
108,2024-12-01 00:36,2.6,0,61.8,.7,1005.1,1015.8,93.8,0,0
108,2024-12-01 00:37,2.6,0,63.8,.6,1005.1,1015.8,94,0,0
108,2024-12-01 00:38,2.7,0,51.9,.9,1005.1,1015.8,93.9,0,0
108,2024-12-01 00:39,2.7,0,28.1,1.4,1005.1,1015.8,94,0,0
108,2024-12-01 00:40,2.7,0,24,1.5,1005.1,1015.8,93.9,0,0
108,2024-12-01 00:41,2.7,0,27,1.7,1005.1,1015.8,93.9,0,0
