,교량명,시도명,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도
8263,장월교,서울특별시,37.617827,127.056945,37.61818,127.057266
8264,여의상류ICBOX,서울특별시,37.515462,126.938087,37.514856,126.933563
8265,도림교(구로),서울특별시,37.510475,126.89094,37.51077,126.891495
8266,오류철도고가차도,서울특별시,37.492954,126.837142,37.493205,126.837442
8267,개화교,서울특별시,37.583115,126.798381,37.583736,126.798051
8268,행주1교,서울특별시,37.591011,126.79879,37.591618,126.799467
8269,행주2교,서울특별시,37.592071,126.799939,37.592403,126.800329
8270,개봉교,서울특별시,37.485439,126.856531,37.485969,126.856482
8271,광복교,서울특별시,37.492673,126.866895,37.492758,126.866132
8272,구로1교,서울특별시,37.487378,126.897556,37.487622,126.897846
8273,오금교,서울특별시,37.507555,126.874497,37.50949,126.872668
8274,광명교,서울특별시,37.481573,126.847028,37.481766,126.846397
8275,목동교,서울특별시,37.531254,126.886049,37.530464,126.88967
8276,개봉철도고가차도교,서울특별시,37.495447,126.850971,37.496563,126.850036
8277,여의하류2교,서울특별시,37.532263,126.909721,37.532453,126.910307
8278,구일고가차도교,서울특별시,37.493295,126.871596,37.491782,126.873857
8279,가리봉철도고가교,서울특별시,37.486033,126.880009,37.485526,126.881437
8280,신월IC교,서울특별시,37.525215,126.835069,37.525905,126.834677
8281,목동교동측IC교,서울특별시,37.530411,126.891165,37.531663,126.891268
8282,가마산고가차도,서울특별시,37.492257,126.882201,37.492985,126.882983
8283,개봉고가차도,서울특별시,37.494893,126.856296,37.491874,126.855996
8284,구로공단 I.C,서울특별시,37.48551,126.881446,37.488141,126.876998
8285,시흥I.C,서울특별시,37.478881,126.898514,37.479041,126.899458
8286,목동교(신교),서울특별시,37.530471,126.889667,37.531279,126.886023
8287,신정교접속교,서울특별시,37.516293,126.881813,37.515979,126.882809
8288,역곡천교,서울특별시,37.479152,126.821685,37.478805,126.821299
8289,행주IC교,서울특별시,37.592024,126.803733,37.592208,126.803446
8290,오금교접속교,서울특별시,37.506095,126.876157,37.507076,126.875114
8291,오류IC,서울특별시,37.498023,126.848662,37.498278,126.848444
8292,도림천하류복개구조물,서울특별시,37.515817,126.883219,37.515972,126.88279
8293,철산교(하류),서울특별시,37.474688,126.876469,37.475091,126.877926
8294,기아대교(하류),서울특별시,37.438717,126.902675,37.438683,126.899444
8295,기아대교(상류),서울특별시,37.438682,126.899472,37.438699,126.902715
8296,반포교,서울특별시,37.499933,126.984905,37.500224,126.985415
8297,관악도림교(하류),서울특별시,37.489623,126.918881,37.48979,126.91991
8298,이수교,서울특별시,37.49987,126.985341,37.50025,126.984968
8299,사방교,서울특별시,37.485575,126.983311,37.485604,126.983667
8300,신사고가교,서울특별시,37.521614,127.017871,37.521981,127.017667
8301,노들(북측)고가차도,서울특별시,37.512397,126.958587,37.5145,126.95362
8302,도림고가차도,서울특별시,37.512006,126.89792,37.510939,126.898549
8303,노들(남측)고가차도,서울특별시,37.52267,126.959363,37.522574,126.960424
8304,수출의다리고가차도,서울특별시,37.476126,126.881757,37.477586,126.88691
8305,강남터미널고가교,서울특별시,37.503265,127.00246,37.507356,126.999989
8306,관악도림교(상류),서울특별시,37.489504,126.91892,37.489689,126.919938
8307,여의교(하류),서울특별시,37.516725,126.92828,37.514913,126.927014
8308,철산교(상류),서울특별시,37.475106,126.877932,37.474672,126.876463
8309,여의상류샛강IC2교,서울특별시,37.517016,126.942017,37.516492,126.939201
8310,구로교,서울특별시,37.484746,126.902938,37.48539,126.903446
8311,봉림교,서울특별시,37.483823,126.926053,37.483904,126.926516
8312,여의상류IC본교박스,서울특별시,37.516621,126.940793,37.517137,126.940651
8313,주흥교고가차도,서울특별시,37.509467,127.015854,37.509623,127.016304
8314,신길고가차도,서울특별시,37.516917,126.916798,37.517318,126.916634
8315,동방1교,서울특별시,37.471585,126.933961,37.471777,126.934127
8316,영동5교,서울특별시,37.490692,127.065228,37.489218,127.066024
8317,탄천2교,서울특별시,37.502338,127.071746,37.503255,127.074314
8318,삼성교,서울특별시,37.510105,127.067492,37.510576,127.070377
8319,세곡3교,서울특별시,37.461952,127.107889,37.462603,127.107989
8320,광평교,서울특별시,37.488859,127.106628,37.489533,127.108732
