name,0_6,7_10,11_18,19_23
가락1동,1.147460317,1.456388889,2.256944444,1.621111111
가락2동,1.147460317,1.456388889,2.256944444,1.621111111
가락본동,1.147460317,1.456388889,2.256944444,1.621111111
가리봉동,1.450793651,1.613888889,2.003194444,1.674444444
가산동,1.450793651,1.613888889,2.003194444,1.674444444
가양1동,1.134761905,1.570277778,2.274861111,1.520444444
가양2동,1.134761905,1.570277778,2.274861111,1.520444444
가양3동,1.134761905,1.570277778,2.274861111,1.520444444
가회동,1.81031746,2.245833333,2.971388889,2.193333333
갈현1동,0.394285714,0.730555556,1.633472222,0.524666667
갈현2동,0.394285714,0.730555556,1.633472222,0.524666667
강일동,1.022698413,1.360833333,2.216111111,1.412666667
개봉1동,1.450793651,1.613888889,2.003194444,1.674444444
개봉2동,1.450793651,1.613888889,2.003194444,1.674444444
개봉3동,1.450793651,1.613888889,2.003194444,1.674444444
개포1동,1.574126984,1.820555556,2.1625,1.802222222
개포2동,1.147460317,1.456388889,2.256944444,1.621111111
개포4동,1.574126984,1.820555556,2.1625,1.802222222
거여1동,0.942539683,1.209444444,1.845694444,1.242666667
거여2동,0.942539683,1.209444444,1.845694444,1.242666667
고덕1동,1.022698413,1.360833333,2.216111111,1.412666667
고덕2동,1.022698413,1.360833333,2.216111111,1.412666667
고척1동,1.450793651,1.613888889,2.003194444,1.674444444
고척2동,1.450793651,1.613888889,2.003194444,1.674444444
공덕동,1.49952381,1.7925,2.553333333,1.893333333
공릉1동,0.875714286,1.065277778,1.522361111,1.144666667
공릉2동,0.811587302,1.053888889,1.334166667,0.969111111
공항동,1.134761905,1.570277778,2.274861111,1.520444444
광장동,1.323650794,1.437222222,2.029166667,1.680666667
광희동,1.81031746,2.245833333,2.971388889,2.193333333
교남동,1.81031746,2.245833333,2.971388889,2.193333333
구로1동,1.450793651,1.613888889,2.003194444,1.674444444
구로2동,1.450793651,1.613888889,2.003194444,1.674444444
구로3동,1.450793651,1.613888889,2.003194444,1.674444444
구로4동,1.450793651,1.613888889,2.003194444,1.674444444
구로5동,1.450793651,1.613888889,2.003194444,1.674444444
구산동,0.394285714,0.730555556,1.633472222,0.524666667
구의1동,1.323650794,1.437222222,2.029166667,1.680666667
구의2동,1.323650794,1.437222222,2.029166667,1.680666667
구의3동,1.323650794,1.437222222,2.029166667,1.680666667
군자동,1.323650794,1.437222222,2.029166667,1.680666667
금호1가동,1.49952381,1.791666667,2.552777778,1.893333333
금호2·3가동,1.49952381,1.791666667,2.552777778,1.893333333
금호4가동,1.49952381,1.791666667,2.552777778,1.893333333
길동,1.144126984,1.296111111,1.639027778,1.194222222
길음1동,1.185238095,1.365,2.171527778,1.518666667
길음2동,0.875714286,1.065277778,1.522361111,1.144666667
낙성대동,0.805714286,1.025833333,1.646666667,1.059777778
난곡동,1.089206349,1.341388889,1.855694444,1.378666667
난향동,1.450793651,1.613888889,2.003194444,1.674444444
남가좌1동,1.093174603,1.433055556,1.914861111,1.364
남가좌2동,1.093174603,1.433055556,1.914861111,1.364
남영동,1.49952381,1.7925,2.553333333,1.893333333
남현동,0.805714286,1.025833333,1.646666667,1.059777778
내곡동,1.147936508,1.345833333,1.637222222,1.363777778
노량진1동,1.089206349,1.341388889,1.855694444,1.378666667
노량진2동,1.089206349,1.341388889,1.855694444,1.378666667
녹번동,1.093174603,1.433055556,1.914861111,1.364
논현1동,1.574126984,1.820555556,2.1625,1.802222222
논현2동,1.49952381,1.791666667,2.552777778,1.893333333
능동,1.323650794,1.437222222,2.029166667,1.680666667
다산동,1.49952381,1.7925,2.553333333,1.893333333
답십리1동,1.185238095,1.365,2.171527778,1.518666667
답십리2동,1.185238095,1.365,2.171527778,1.518666667
당산1동,1.089365079,1.438888889,1.863888889,1.428
당산2동,1.718412698,2.148333333,2.580833333,2.165777778
대림1동,1.089206349,1.341388889,1.855694444,1.378666667
대림2동,1.450793651,1.613888889,2.003194444,1.674444444
대림3동,1.450793651,1.613888889,2.003194444,1.674444444
대방동,1.089206349,1.341388889,1.855694444,1.378666667
대조동,0.394285714,0.730555556,1.633472222,0.524666667
대치1동,1.574126984,1.820555556,2.1625,1.802222222
대치2동,1.574126984,1.820555556,2.1625,1.802222222
대치4동,1.574126984,1.820555556,2.1625,1.802222222
대학동,1.089206349,1.341388889,1.855694444,1.378666667
대흥동,1.718412698,2.148333333,2.580833333,2.165777778
도곡1동,1.574126984,1.820555556,2.1625,1.802222222
도곡2동,1.574126984,1.820555556,2.1625,1.802222222
도림동,1.089206349,1.341388889,1.855694444,1.378666667
도봉1동,0.702698413,1.006388889,1.638333333,0.992666667
도봉2동,0.702698413,1.006388889,1.638333333,0.992666667
도화동,1.718412698,2.148333333,2.580833333,2.165777778
독산1동,1.450793651,1.613888889,2.003194444,1.674444444
독산2동,1.450793651,1.613888889,2.003194444,1.674444444
독산3동,1.089206349,1.341388889,1.855694444,1.378666667
독산4동,1.450793651,1.613888889,2.003194444,1.674444444
돈암1동,1.185238095,1.365,2.171527778,1.518666667
돈암2동,1.81031746,2.245833333,2.971388889,2.193333333
동선동,1.185238095,1.365,2.171527778,1.518666667
동화동,1.185238095,1.365,2.171527778,1.518666667
