name,0_6,7_10,11_18,19_23
가락1동,0.894930876,1.072580645,1.738306452,1.217419355
가락2동,0.894930876,1.072580645,1.738306452,1.217419355
가락본동,0.894930876,1.072580645,1.738306452,1.217419355
가리봉동,1.464516129,1.556451613,1.866129032,1.567741935
가산동,1.464516129,1.556451613,1.866129032,1.567741935
가양1동,1.085714286,1.432258065,2.105645161,1.423225806
가양2동,1.085714286,1.432258065,2.105645161,1.423225806
가양3동,1.085714286,1.432258065,2.105645161,1.423225806
가회동,1.603225806,2.058870968,2.816532258,2.038709677
갈현1동,0.336866359,0.603225806,1.458064516,0.377419355
갈현2동,0.336866359,0.603225806,1.458064516,0.377419355
강일동,0.837327189,1.193548387,1.993951613,1.141935484
개봉1동,1.464516129,1.556451613,1.866129032,1.567741935
개봉2동,1.464516129,1.556451613,1.866129032,1.567741935
개봉3동,1.464516129,1.556451613,1.866129032,1.567741935
개포1동,1.493548387,1.856451613,2.071774194,1.746451613
개포2동,0.894930876,1.072580645,1.738306452,1.217419355
개포4동,1.493548387,1.856451613,2.071774194,1.746451613
거여1동,0.894930876,1.072580645,1.738306452,1.217419355
거여2동,0.894930876,1.072580645,1.738306452,1.217419355
고덕1동,0.837327189,1.193548387,1.993951613,1.141935484
고덕2동,0.837327189,1.193548387,1.993951613,1.141935484
고척1동,1.464516129,1.556451613,1.866129032,1.567741935
고척2동,1.464516129,1.556451613,1.866129032,1.567741935
공덕동,1.511059908,1.756451613,2.404032258,1.787096774
공릉1동,0.861290323,0.966935484,1.473790323,1.081935484
공릉2동,0.750691244,0.991935484,1.280241935,0.84516129
공항동,1.085714286,1.432258065,2.105645161,1.423225806
광장동,1.133179724,1.283064516,1.906451613,1.593548387
광희동,1.603225806,2.058870968,2.816532258,2.038709677
교남동,1.603225806,2.058870968,2.816532258,2.038709677
구로1동,1.464516129,1.556451613,1.866129032,1.567741935
구로2동,1.464516129,1.556451613,1.866129032,1.567741935
구로3동,1.464516129,1.556451613,1.866129032,1.567741935
구로4동,1.464516129,1.556451613,1.866129032,1.567741935
구로5동,1.464516129,1.556451613,1.866129032,1.567741935
구산동,0.336866359,0.603225806,1.458064516,0.377419355
구의1동,1.133179724,1.283064516,1.906451613,1.593548387
구의2동,1.133179724,1.283064516,1.906451613,1.593548387
구의3동,1.133179724,1.283064516,1.906451613,1.593548387
군자동,1.133179724,1.283064516,1.906451613,1.593548387
금호1가동,1.511059908,1.756451613,2.402419355,1.787096774
금호2·3가동,1.511059908,1.756451613,2.402419355,1.787096774
금호4가동,1.511059908,1.756451613,2.402419355,1.787096774
길동,1.10921659,1.280645161,1.513709677,1.103870968
길음1동,1.142857143,1.192741935,2.033870968,1.367096774
길음2동,0.861290323,0.966935484,1.473790323,1.081935484
낙성대동,0.750691244,0.980645161,1.506451613,0.963870968
난곡동,1.010599078,1.191129032,1.691935484,1.278064516
난향동,1.464516129,1.556451613,1.866129032,1.567741935
남가좌1동,1.010599078,1.3,1.791129032,1.283225806
남가좌2동,1.010599078,1.3,1.791129032,1.283225806
남영동,1.511059908,1.756451613,2.404032258,1.787096774
남현동,0.750691244,0.980645161,1.506451613,0.963870968
내곡동,1.09078341,1.318548387,1.4875,1.168387097
노량진1동,1.010599078,1.191129032,1.691935484,1.278064516
노량진2동,1.010599078,1.191129032,1.691935484,1.278064516
녹번동,1.010599078,1.3,1.791129032,1.283225806
논현1동,1.493548387,1.856451613,2.071774194,1.746451613
논현2동,1.511059908,1.756451613,2.402419355,1.787096774
능동,1.133179724,1.283064516,1.906451613,1.593548387
다산동,1.511059908,1.756451613,2.404032258,1.787096774
답십리1동,1.142857143,1.192741935,2.033870968,1.367096774
답십리2동,1.142857143,1.192741935,2.033870968,1.367096774
당산1동,1.038248848,1.395967742,1.743548387,1.353548387
당산2동,1.719815668,1.997580645,2.474193548,2.12
대림1동,1.010599078,1.191129032,1.691935484,1.278064516
대림2동,1.464516129,1.556451613,1.866129032,1.567741935
대림3동,1.464516129,1.556451613,1.866129032,1.567741935
대방동,1.010599078,1.191129032,1.691935484,1.278064516
대조동,0.336866359,0.603225806,1.458064516,0.377419355
대치1동,1.493548387,1.856451613,2.071774194,1.746451613
대치2동,1.493548387,1.856451613,2.071774194,1.746451613
대치4동,1.493548387,1.856451613,2.071774194,1.746451613
대학동,1.010599078,1.191129032,1.691935484,1.278064516
대흥동,1.719815668,1.997580645,2.474193548,2.12
도곡1동,1.493548387,1.856451613,2.071774194,1.746451613
도곡2동,1.493548387,1.856451613,2.071774194,1.746451613
도림동,1.010599078,1.191129032,1.691935484,1.278064516
도봉1동,0.72764977,1.003225806,1.519758065,0.921935484
도봉2동,0.72764977,1.003225806,1.519758065,0.921935484
도화동,1.719815668,1.997580645,2.474193548,2.12
독산1동,1.464516129,1.556451613,1.866129032,1.567741935
독산2동,1.464516129,1.556451613,1.866129032,1.567741935
독산3동,1.010599078,1.191129032,1.691935484,1.278064516
독산4동,1.464516129,1.556451613,1.866129032,1.567741935
돈암1동,1.142857143,1.192741935,2.033870968,1.367096774
돈암2동,1.603225806,2.058870968,2.816532258,2.038709677
동선동,1.142857143,1.192741935,2.033870968,1.367096774
동화동,1.142857143,1.192741935,2.033870968,1.367096774
둔촌1동,1.10921659,1.280645161,1.513709677,1.103870968
둔촌2동,1.10921659,1.280645161,1.513709677,1.103870968
등촌1동,1.038248848,1.395967742,1.743548387,1.353548387
등촌2동,1.038248848,1.395967742,1.743548387,1.353548387
등촌3동,1.038248848,1.395967742,1.743548387,1.353548387
마장동,1.142857143,1.192741935,2.033870968,1.367096774
마천1동,0.894930876,1.072580645,1.738306452,1.217419355
마천2동,0.894930876,1.072580645,1.738306452,1.217419355
망우본동,1.359907834,1.433064516,2.255241935,1.74
망우3동,1.359907834,1.433064516,2.255241935,1.74
망원1동,1.719815668,1.997580645,2.474193548,2.12
망원2동,1.719815668,1.997580645,2.474193548,2.12
면목본동,1.359907834,1.433064516,2.255241935,1.74
면목2동,1.359907834,1.433064516,2.255241935,1.74
면목3·8동,1.359907834,1.433064516,2.255241935,1.74
면목4동,1.359907834,1.433064516,2.255241935,1.74
면목5동,1.359907834,1.433064516,2.255241935,1.74
면목7동,1.359907834,1.433064516,2.255241935,1.74
명동,1.603225806,2.058870968,2.816532258,2.038709677
명일1동,1.10921659,1.280645161,1.513709677,1.103870968
명일2동,1.10921659,1.280645161,1.513709677,1.103870968
목1동,1.038248848,1.395967742,1.743548387,1.353548387
목2동,1.038248848,1.395967742,1.743548387,1.353548387
목3동,1.038248848,1.395967742,1.743548387,1.353548387
목4동,1.038248848,1.395967742,1.743548387,1.353548387
목5동,1.038248848,1.395967742,1.743548387,1.353548387
무악동,1.603225806,2.058870968,2.816532258,2.038709677
묵1동,0.750691244,0.991935484,1.280241935,0.84516129
묵2동,0.750691244,0.991935484,1.280241935,0.84516129
문래동,1.719815668,1.997580645,2.474193548,2.12
문정1동,0.894930876,1.072580645,1.738306452,1.217419355
문정2동,0.894930876,1.072580645,1.738306452,1.217419355
미성동,1.010599078,1.191129032,1.691935484,1.278064516
미아동,0.861290323,0.966935484,1.473790323,1.081935484
반포1동,0.750691244,0.980645161,1.506451613,0.963870968
반포2동,0.750691244,0.980645161,1.506451613,0.963870968
반포3동,0.750691244,0.980645161,1.506451613,0.963870968
반포4동,0.750691244,0.980645161,1.506451613,0.963870968
반포본동,0.750691244,0.980645161,1.506451613,0.963870968
발산1동,1.085714286,1.432258065,2.105645161,1.423225806
방배1동,0.750691244,0.980645161,1.506451613,0.963870968
방배2동,0.750691244,0.980645161,1.506451613,0.963870968
방배3동,0.750691244,0.980645161,1.506451613,0.963870968
방배4동,0.750691244,0.980645161,1.506451613,0.963870968
방배본동,0.750691244,0.980645161,1.506451613,0.963870968
방이1동,0.894930876,1.072580645,1.738306452,1.217419355
방이2동,1.133179724,1.283064516,1.906451613,1.593548387
방학1동,0.72764977,1.003225806,1.519758065,0.921935484
방학2동,0.72764977,1.003225806,1.519758065,0.921935484
방학3동,0.72764977,1.003225806,1.519758065,0.921935484
방화1동,1.085714286,1.432258065,2.105645161,1.423225806
방화2동,1.085714286,1.432258065,2.105645161,1.423225806
방화3동,1.085714286,1.432258065,2.105645161,1.423225806
번1동,0.861290323,0.966935484,1.473790323,1.081935484
번2동,0.861290323,0.966935484,1.473790323,1.081935484
번3동,0.861290323,0.966935484,1.473790323,1.081935484
보광동,1.511059908,1.756451613,2.404032258,1.787096774
보라매동,1.010599078,1.191129032,1.691935484,1.278064516
보문동,1.142857143,1.192741935,2.033870968,1.367096774
부암동,1.603225806,2.058870968,2.816532258,2.038709677
북가좌1동,1.010599078,1.3,1.791129032,1.283225806
북가좌2동,1.010599078,1.3,1.791129032,1.283225806
북아현동,1.719815668,1.997580645,2.474193548,2.12
불광1동,0.336866359,0.603225806,1.458064516,0.377419355
불광2동,0.336866359,0.603225806,1.458064516,0.377419355
사근동,1.142857143,1.192741935,2.033870968,1.367096774
사당1동,0.750691244,0.980645161,1.506451613,0.963870968
사당2동,0.750691244,0.980645161,1.506451613,0.963870968
사당3동,0.750691244,0.980645161,1.506451613,0.963870968
사당4동,0.750691244,0.980645161,1.506451613,0.963870968
사당5동,0.750691244,0.980645161,1.506451613,0.963870968
사직동,1.603225806,2.058870968,2.816532258,2.038709677
삼각산동,0.861290323,0.966935484,1.473790323,1.081935484
삼선동,1.603225806,2.058870968,2.816532258,2.038709677
삼성1동,1.493548387,1.856451613,2.071774194,1.746451613
삼성2동,1.493548387,1.856451613,2.071774194,1.746451613
삼성동,1.010599078,1.191129032,1.691935484,1.278064516
삼양동,0.861290323,0.966935484,1.473790323,1.081935484
삼전동,0.894930876,1.072580645,1.738306452,1.217419355
삼청동,1.603225806,2.058870968,2.816532258,2.038709677
상계10동,0.72764977,1.003225806,1.519758065,0.921935484
상계1동,0.72764977,1.003225806,1.519758065,0.921935484
상계2동,0.72764977,1.003225806,1.519758065,0.921935484
상계3·4동,0.72764977,1.003225806,1.519758065,0.921935484
상계5동,0.72764977,1.003225806,1.519758065,0.921935484
상계6·7동,0.72764977,1.003225806,1.519758065,0.921935484
상계8동,0.72764977,1.003225806,1.519758065,0.921935484
상계9동,0.72764977,1.003225806,1.519758065,0.921935484
상도1동,1.010599078,1.191129032,1.691935484,1.278064516
상도2동,1.010599078,1.191129032,1.691935484,1.278064516
상도3동,1.010599078,1.191129032,1.691935484,1.278064516
상도4동,1.010599078,1.191129032,1.691935484,1.278064516
상봉1동,1.359907834,1.433064516,2.255241935,1.74
상봉2동,1.359907834,1.433064516,2.255241935,1.74
상암동,1.085714286,1.432258065,2.105645161,1.423225806
상일동,1.10921659,1.280645161,1.513709677,1.103870968
서강동,1.719815668,1.997580645,2.474193548,2.12
서교동,1.719815668,1.997580645,2.474193548,2.12
서림동,1.010599078,1.191129032,1.691935484,1.278064516
서빙고동,1.511059908,1.756451613,2.404032258,1.787096774
서원동,1.010599078,1.191129032,1.691935484,1.278064516
서초1동,1.493548387,1.856451613,2.071774194,1.746451613
서초2동,1.493548387,1.856451613,2.071774194,1.746451613
서초3동,0.750691244,0.980645161,1.506451613,0.963870968
서초4동,1.493548387,1.856451613,2.071774194,1.746451613
석관동,0.861290323,0.966935484,1.473790323,1.081935484
석촌동,0.894930876,1.072580645,1.738306452,1.217419355
성내1동,1.133179724,1.283064516,1.906451613,1.593548387
성내2동,1.133179724,1.283064516,1.906451613,1.593548387
성내3동,1.10921659,1.280645161,1.513709677,1.103870968
성북동,1.603225806,2.058870968,2.816532258,2.038709677
성산1동,1.010599078,1.3,1.791129032,1.283225806
성산2동,1.010599078,1.3,1.791129032,1.283225806
성수1가1동,1.511059908,1.756451613,2.402419355,1.787096774
성수1가2동,1.511059908,1.756451613,2.402419355,1.787096774
성수2가1동,1.511059908,1.756451613,2.402419355,1.787096774
성수2가3동,1.511059908,1.756451613,2.402419355,1.787096774
성현동,1.010599078,1.191129032,1.691935484,1.278064516
세곡동,0.894930876,1.072580645,1.738306452,1.217419355
소공동,1.603225806,2.058870968,2.816532258,2.038709677
송정동,1.511059908,1.756451613,2.402419355,1.787096774
송중동,0.861290323,0.966935484,1.473790323,1.081935484
송천동,0.861290323,0.966935484,1.473790323,1.081935484
송파1동,0.894930876,1.072580645,1.738306452,1.217419355
송파2동,0.894930876,1.072580645,1.738306452,1.217419355
수궁동,1.167281106,1.646774194,2.163709677,1.352258065
수색동,1.085714286,1.432258065,2.105645161,1.423225806
수서동,0.894930876,1.072580645,1.738306452,1.217419355
수유1동,2.676958525,2.378225806,3.058870968,3.215483871
수유2동,0.861290323,0.966935484,1.473790323,1.081935484
수유3동,0.861290323,0.966935484,1.473790323,1.081935484
숭인1동,1.603225806,2.058870968,2.816532258,2.038709677
숭인2동,1.142857143,1.192741935,2.033870968,1.367096774
시흥1동,1.141935484,1.384677419,2.01733871,1.309032258
시흥2동,1.464516129,1.556451613,1.866129032,1.567741935
시흥3동,1.464516129,1.556451613,1.866129032,1.567741935
시흥4동,1.464516129,1.556451613,1.866129032,1.567741935
시흥5동,1.464516129,1.556451613,1.866129032,1.567741935
신길1동,1.010599078,1.191129032,1.691935484,1.278064516
신길3동,1.010599078,1.191129032,1.691935484,1.278064516
신길4동,1.010599078,1.191129032,1.691935484,1.278064516
신길5동,1.010599078,1.191129032,1.691935484,1.278064516
신길6동,1.010599078,1.191129032,1.691935484,1.278064516
신길7동,1.010599078,1.191129032,1.691935484,1.278064516
신내1동,0.750691244,0.991935484,1.280241935,0.84516129
신내2동,0.750691244,0.991935484,1.280241935,0.84516129
신당동,1.603225806,2.058870968,2.816532258,2.038709677
신당제5동,1.142857143,1.192741935,2.033870968,1.367096774
신대방1동,1.010599078,1.191129032,1.691935484,1.278064516
신대방2동,1.010599078,1.191129032,1.691935484,1.278064516
신도림동,1.464516129,1.556451613,1.866129032,1.567741935
신림동,1.010599078,1.191129032,1.691935484,1.278064516
신사동2,1.010599078,1.191129032,1.691935484,1.278064516
신사동,1.511059908,1.756451613,2.402419355,1.787096774
신사1동,1.010599078,1.3,1.791129032,1.283225806
신사2동,1.010599078,1.3,1.791129032,1.283225806
신수동,1.719815668,1.997580645,2.474193548,2.12
신원동,1.010599078,1.191129032,1.691935484,1.278064516
신월1동,1.085714286,1.432258065,2.105645161,1.423225806
신월2동,1.038248848,1.395967742,1.743548387,1.353548387
신월3동,1.085714286,1.432258065,2.105645161,1.423225806
신월4동,1.085714286,1.432258065,2.105645161,1.423225806
신월5동,1.085714286,1.432258065,2.105645161,1.423225806
신월6동,1.038248848,1.395967742,1.743548387,1.353548387
신월7동,1.085714286,1.432258065,2.105645161,1.423225806
신정1동,1.038248848,1.395967742,1.743548387,1.353548387
신정2동,1.038248848,1.395967742,1.743548387,1.353548387
신정3동,1.038248848,1.395967742,1.743548387,1.353548387
신정4동,1.038248848,1.395967742,1.743548387,1.353548387
신정6동,1.038248848,1.395967742,1.743548387,1.353548387
신정7동,1.464516129,1.556451613,1.866129032,1.567741935
신촌동,1.719815668,1.997580645,2.474193548,2.12
쌍문1동,0.861290323,0.966935484,1.473790323,1.081935484
쌍문2동,0.72764977,1.003225806,1.519758065,0.921935484
쌍문3동,0.861290323,0.966935484,1.473790323,1.081935484
쌍문4동,0.72764977,1.003225806,1.519758065,0.921935484
아현동,1.719815668,1.997580645,2.474193548,2.12
안암동,1.142857143,1.192741935,2.033870968,1.367096774
암사1동,1.10921659,1.280645161,1.513709677,1.103870968
암사2동,1.133179724,1.283064516,1.906451613,1.593548387
암사3동,1.10921659,1.280645161,1.513709677,1.103870968
압구정동,1.511059908,1.756451613,2.402419355,1.787096774
약수동,1.511059908,1.756451613,2.404032258,1.787096774
양재1동,1.493548387,1.856451613,2.071774194,1.746451613
양재2동,1.493548387,1.856451613,2.071774194,1.746451613
양평1동,1.038248848,1.395967742,1.743548387,1.353548387
양평2동,1.038248848,1.395967742,1.743548387,1.353548387
여의동,1.719815668,1.997580645,2.474193548,2.12
역삼1동,1.493548387,1.856451613,2.071774194,1.746451613
역삼2동,1.493548387,1.856451613,2.071774194,1.746451613
역촌동,1.010599078,1.3,1.791129032,1.283225806
연남동,1.010599078,1.3,1.791129032,1.283225806
연희동,1.010599078,1.3,1.791129032,1.283225806
염리동,1.719815668,1.997580645,2.474193548,2.12
염창동,1.038248848,1.395967742,1.743548387,1.353548387
영등포동,1.719815668,1.997580645,2.474193548,2.12
영등포본동,1.719815668,1.997580645,2.474193548,2.12
오금동,0.894930876,1.072580645,1.738306452,1.217419355
오류1동,1.464516129,1.556451613,1.866129032,1.567741935
오류2동,1.167281106,1.646774194,2.163709677,1.352258065
오륜동,1.10921659,1.280645161,1.513709677,1.103870968
옥수동,1.511059908,1.756451613,2.404032258,1.787096774
왕십리도선동,1.142857143,1.192741935,2.033870968,1.367096774
왕십리2동,1.142857143,1.192741935,2.033870968,1.367096774
용강동,1.719815668,1.997580645,2.474193548,2.12
용답동,1.142857143,1.192741935,2.033870968,1.367096774
용문동,1.511059908,1.756451613,2.404032258,1.787096774
용산2가동,1.511059908,1.756451613,2.404032258,1.787096774
용신동,1.142857143,1.192741935,2.033870968,1.367096774
우이동,2.676958525,2.378225806,3.058870968,3.215483871
우장산동,1.038248848,1.395967742,1.743548387,1.353548387
원효로1동,1.511059908,1.756451613,2.404032258,1.787096774
원효로2동,1.719815668,1.997580645,2.474193548,2.12
월계1동,0.861290323,0.966935484,1.473790323,1.081935484
월계2동,0.861290323,0.966935484,1.473790323,1.081935484
월계3동,0.861290323,0.966935484,1.473790323,1.081935484
월곡1동,0.861290323,0.966935484,1.473790323,1.081935484
월곡2동,1.142857143,1.192741935,2.033870968,1.367096774
위례동,0.894930876,1.072580645,1.738306452,1.217419355
은천동,1.010599078,1.191129032,1.691935484,1.278064516
을지로동,1.603225806,2.058870968,2.816532258,2.038709677
응봉동,1.511059908,1.756451613,2.402419355,1.787096774
응암1동,1.010599078,1.3,1.791129032,1.283225806
응암2동,1.010599078,1.3,1.791129032,1.283225806
응암3동,1.010599078,1.3,1.791129032,1.283225806
이문1동,1.142857143,1.192741935,2.033870968,1.367096774
이문2동,1.142857143,1.192741935,2.033870968,1.367096774
이촌1동,1.511059908,1.756451613,2.404032258,1.787096774
이촌2동,1.719815668,1.997580645,2.474193548,2.12
이태원1동,1.511059908,1.756451613,2.404032258,1.787096774
이태원2동,1.511059908,1.756451613,2.404032258,1.787096774
이화동,1.603225806,2.058870968,2.816532258,2.038709677
인수동,2.676958525,2.378225806,3.058870968,3.215483871
인헌동,1.010599078,1.191129032,1.691935484,1.278064516
일원1동,0.894930876,1.072580645,1.738306452,1.217419355
일원2동,0.894930876,1.072580645,1.738306452,1.217419355
일원본동,0.894930876,1.072580645,1.738306452,1.217419355
자양1동,1.133179724,1.283064516,1.906451613,1.593548387
자양2동,1.133179724,1.283064516,1.906451613,1.593548387
자양3동,1.511059908,1.756451613,2.402419355,1.787096774
자양4동,1.511059908,1.756451613,2.402419355,1.787096774
잠실2동,1.133179724,1.283064516,1.906451613,1.593548387
잠실3동,0.894930876,1.072580645,1.738306452,1.217419355
잠실4동,1.133179724,1.283064516,1.906451613,1.593548387
잠실6동,1.133179724,1.283064516,1.906451613,1.593548387
잠실7동,0.894930876,1.072580645,1.738306452,1.217419355
잠실본동,0.894930876,1.072580645,1.738306452,1.217419355
잠원동,1.511059908,1.756451613,2.404032258,1.787096774
장안1동,1.142857143,1.192741935,2.033870968,1.367096774
장안2동,1.142857143,1.192741935,2.033870968,1.367096774
장위1동,0.861290323,0.966935484,1.473790323,1.081935484
장위2동,0.861290323,0.966935484,1.473790323,1.081935484
장위3동,0.861290323,0.966935484,1.473790323,1.081935484
장지동,0.894930876,1.072580645,1.738306452,1.217419355
장충동,1.603225806,2.058870968,2.816532258,2.038709677
전농1동,1.142857143,1.192741935,2.033870968,1.367096774
전농2동,1.142857143,1.192741935,2.033870968,1.367096774
정릉1동,1.603225806,2.058870968,2.816532258,2.038709677
정릉2동,1.603225806,2.058870968,2.816532258,2.038709677
정릉3동,2.676958525,2.378225806,3.058870968,3.215483871
정릉4동,2.676958525,2.378225806,3.058870968,3.215483871
제기동,1.142857143,1.192741935,2.033870968,1.367096774
조원동,1.010599078,1.191129032,1.691935484,1.278064516
종로1·2·3·4가동,1.603225806,2.058870968,2.816532258,2.038709677
종로5·6가동,1.603225806,2.058870968,2.816532258,2.038709677
종암동,1.142857143,1.192741935,2.033870968,1.367096774
중계1동,0.936866359,1.101612903,2.006451613,1.145806452
중계2·3동,0.861290323,0.966935484,1.473790323,1.081935484
중계4동,0.936866359,1.101612903,2.006451613,1.145806452
중계본동,0.750691244,0.991935484,1.280241935,0.84516129
중곡1동,1.359907834,1.433064516,2.255241935,1.74
중곡2동,1.359907834,1.433064516,2.255241935,1.74
중곡3동,1.359907834,1.433064516,2.255241935,1.74
