도로폭,시점,Latitude,Longitude,종점,Latitude,Longitude
52,광진구 중곡동 680-20,37.5598972,127.0727654,광진구 광장동 557-1,37.5438091,127.1089378
20,마포구 상암동 496-106(가양대교),37.5693231,126.8609947,광진구 광장동 594(광장동 시계),37.5478239,127.1047149
39,구의동 245-8(광진우체국),37.5381719,127.0907574,구의동 658(세양아파트 입구),37.5375813,127.0938987
38,성동구 성수동1가 671(성동교남단),37.5502104,127.0437836,광진구 광장동 575-3(올림픽대교남단),37.5373038,127.1017648
15,광장동 401-17(양진중학교),37.5450106,127.0982929,광장동 334-12(광장육교),37.5482385,127.106878
23,자양동 813-0(구의 빗물펌프장),37.5313257,127.0920489,구의동 199-18(삼성쉐르빌ⓐ),37.5400124,127.0946811
15,구의동 244-50(KT광진지사),37.5382091,127.0892948,구의동 228-1(구의시장앞),37.5444241,127.0907254
23,광진구 광장동 303-111(광진교남단),37.544762,127.113096,강동구 상일동444-1(상일동길),37.5455441,127.1681446
11,"군자동 503(구, 민중병원 앞)",37.5530406,127.0736767,군자동 478-1(군자역),37.5571506,127.078655
22,중곡동 238-5(중곡펌프장),37.5643299,127.0767939,중곡동 143-146(아차산긴고랑입구),37.5630113,127.0961779
32,광진구 자양동 824(청담대교 북단),37.526569,127.064462,광진구 중곡동 169-80(중곡SK아파트),37.5690372,127.0855359
20,서울시 성동구 강변북로 140,37.5369855,127.047472,경기도 의정부시 동일로 260,37.7240657,127.0539196
34,성동구 성수동2가 159-16,37.5338744,127.0582909,경기도 양주시 마전동 118-8,37.7797627,127.0499331
18,서울특별시 성동구 옥수동 168-1(용산구 경계),37.5400509,127.0177866,서울특별시 광진구 구의동 593-18(동서울호텔 앞),37.534593,127.091966
14,광진구 군자동 64-2,37.5542917,127.0750482,광진구 중곡동 546,37.5709006,127.0838946
37,광진구 화양동 507-7,37.5456425,127.0765926,광진구 광장동 2-6,37.5582091,127.113476
15,중곡동 79-2(중곡사거리),37.5584485,127.0879758,광장동 383-12(아차산생태공원입구),37.5518658,127.1007676
29,광진구 중곡동 471-2,37.5533647,127.0889529,광진구 중곡동 606-1,37.5704724,127.0861422
11,광장동 530-1(광장삼거리),37.5429801,127.0944288,광장동 363-2(워커힐 입구),37.5518657,127.1071053
27,광진구 자양동 571(잠실대교 북단),37.5279097,127.0897789,광진구 구의동 27-34,37.5547344,127.0932663
28,자양동 591-12(자양육관문),37.5297299,127.0749769,자양동 794(자양교회 삼거리),37.5374388,127.0775081
5,구의동 587-21,37.5378054,127.0915423,구의동 587-56,37.5366203,127.090415
27,구의동 546-11,37.5353757,127.0934453,구의동 546-10,37.5340275,127.0947254
6,화양동 21-49,37.5480586,127.0680258,화양동 23-42,37.5467733,127.0673982
6,군자동 356-6,37.5484312,127.0689723,군자동 354-0,37.5499962,127.0689521
6,화양동 18-32,37.5479471,127.0691544,화양동 20-28,37.5465806,127.0680848
7,군자동 358-9,37.548475,127.0697258,군자동 345-6,37.5511581,127.0704846
5,화양동 18-9,37.5478136,127.0696414,화양동 19-27,37.5463481,127.0687885
5,군자동 361-23,37.5480982,127.0726594,군자동 369-9,37.5490356,127.0723033
7,화양동 192-0,37.5475203,127.072422,화양동 111-139,37.5466213,127.0721518
6,군자동 373-8,37.5481301,127.0728631,군자동 366-12,37.5498304,127.0727831
4,화양동 499-59,37.5455678,127.0742105,화양동 500-3,37.5450546,127.0750185
5,화양동 111-256,37.5468794,127.0747548,화양동 499-53,37.5450102,127.0740904
5,화양동 499-23,37.5464507,127.0755534,화양동 495-23,37.5453993,127.076149
7,화양동 499-1,37.5464951,127.0755874,화양동 499-84,37.5456517,127.0749461
4,화양동 499-44,37.5461843,127.0753001,화양동 503-4,37.5452195,127.0755754
8,화양동 498-8,37.546281,127.0759072,화양동 302-4,37.5452124,127.0792957
5,화양동 495-9,37.5459304,127.076439,화양동 478-3,37.5454114,127.07809
4,화양동 478-2,37.5455311,127.0780181,화양동 435-1,37.5449946,127.0789405
4,구의동 633-9,37.5443473,127.0822044,구의동 634-13,37.5438551,127.0837845
8,구의동 633-1,37.5443961,127.0824416,화양동 307-0,37.5433862,127.080312
6,구의동 640-3,37.5438804,127.0819778,구의동 635-5,37.5433028,127.0835631
5,구의동 641-4,37.5433657,127.0816977,구의동 646-5,37.5428148,127.0833234
4,구의동 253-47,37.5449354,127.0838959,구의동 253-62,37.5444217,127.0833987
4,구의동 253-7,37.5448591,127.0844899,구의동 253-31,37.5442935,127.0840545
6,구의동 68-11,37.5452997,127.0862902,구의동 69-34,37.5471872,127.088367
13,구의동 234-1,37.5447856,127.0867815,구의동 250-4,37.5416807,127.0854372
9,구의동 67-37,37.545201,127.0871181,구의동 65-45,37.5468045,127.0889725
7,구의동 230-19,37.5446924,127.0885089,구의동 249-22,37.541161,127.0868583
4,구의동 66-58,37.545063,127.0890461,구의동 66-36,37.5451608,127.0879358
7,구의동 229-9,37.5446515,127.0895363,구의동 222-53,37.5405466,127.0887217
