start,Latitude,Longitude,end,Latitude,Longitude
구의2동 34-8,37.5525303,127.0955485,구의2동 81-3,37.5530283,127.0969846
구의2동 23-26,37.5527499,127.0956433,구의2동 23-30,37.5536238,127.0970294
용곡초등학교,36.7868174,127.1319804,용곡초등학교,36.7868174,127.1319804
중곡3동 194-19,37.566155,127.08431,중곡3동 608-6,37.566155,127.08431
아차산로78길 90,37.5510808,127.1106061,아차산로78길 90,37.5510808,127.1106061
아차산로78가길 17,37.5492801,127.1098702,아차산로78가길 17,37.5492801,127.1098702
중곡4동 176-144,37.5614997,127.0910101,중곡4동 176-42,37.5679784,127.089213
중곡4동 297-6,37.568368,127.086539,중곡4동 176-110,37.5614997,127.0910101
중곡4동 289-2,37.5698446,127.0866675,중곡4동 287-2,37.5698865,127.0881346
중곡4동 289-10,37.5698446,127.0866675,중곡4동 294-1,37.56897,127.0886115
중곡4동 21-11,37.5631489,127.0875181,중곡4동 271-1,37.5633117,127.0883333
구의2동 143-1,37.5544721,127.0947481,구의2동 21-32,37.5540892,127.0963369
구의2동 556-6,37.555075,127.0934224,구의2동 549-3,37.5561333,127.0949859
구의2동 558-11,37.5548513,127.0936575,구의2동 551-2,37.555933,127.0952674
구의2동 22-34,37.5534282,127.0951795,구의2동 22-27,37.5536443,127.0954114
구의2동 549-3,37.5561333,127.0949859,중곡4동 104-11,37.5560504,127.094458
중곡4동 70-12,37.559292,127.0930178,중곡4동 69-5,37.5681371,127.0802029
중곡3동 168-1,37.567873,127.085301,중곡3동 169-11,37.566155,127.08431
중곡4동 605-1,37.5702499,127.0864195,중곡4동 599-2,37.5703948,127.0881752
중곡2동 36-2,37.5618252,127.0859072,중곡2동 35-2,37.5621169,127.0862998
구의2동 43-11,37.5498784,127.0951259,구의2동 36-20,37.5501934,127.0962643
자양1동 609-17,37.5333095,127.0772558,자양1동 609-16,37.5333934,127.0771716
자양1동 609-17,37.5333095,127.0772558,자양1동 609-16,37.5333934,127.0771716
자양1동 659-20,37.5324948,127.0839815,자양1동 659-32,37.5320535,127.0841249
자양1동 610,37.5342896,127.07626,자양1동 611-5,37.5344736,127.0763255
능동 320-56,37.5539413,127.079059,능동 320-58,37.5537855,127.0789715
광장동 121,37.5503992,127.1093024,광장동 148-4,37.5496573,127.1088714
광장동 244-24,37.5459999,127.1047543,광장동 241-1,37.5457757,127.1044688
구의동 57-30,37.5494558,127.0928372,구의동 57-120,37.5496292,127.092976
중곡동 71,37.5593408,127.0932583,중곡동 72-10,37.5592908,127.0940483
화양동 132-34,37.5469062,127.070613,화양동 132-63,37.5468974,127.0704381
구의동 662,37.5540212,127.0970697,구의동 23-29,37.5535121,127.0971638
중곡동 150-323,37.5618615,127.0886369,중곡동 150-300,37.5618431,127.089352
구의동 37-9,37.5505892,127.0970965,구의동 33-1,37.552473,127.0952908
능동 225-5,37.5542226,127.07857,능동 284-1,37.5538842,127.0786167
구의동 591,37.535649,127.0895868,구의동 591-5,37.5356561,127.0897846
구의동 75-6,37.5504603,127.0891501,구의동 77-33,37.5504096,127.088887
광장동 107,37.5516293,127.1098218,광장동 102,37.5516182,127.1109471
뚝섬로64길 45,37.5317861,127.089619,구의강변로11,37.5314438,127.091001
화양동 111-12,37.5459945,127.0739926,화양동 111-117,37.5464056,127.074024
구의동 254-36,37.5422422,127.0837783,구의동 254-44,37.5422347,127.0832128
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
