gu,dong,총생활인구수
송파구,가락1동,33891.1593
송파구,가락2동,25913.9076
송파구,가락본동,40141.3933
구로구,가리봉동,10137.7878
금천구,가산동,41627.9708
강서구,가양1동,31664.0587
강서구,가양2동,14482.2361
강서구,가양3동,12293.0366
종로구,가회동,3667.4211
은평구,갈현1동,16780.9931
은평구,갈현2동,24140.0776
강동구,강일동,53012.2898
구로구,개봉1동,30936.944
구로구,개봉2동,26151.125
구로구,개봉3동,19583.8037
강남구,개포1동,28767.5769
강남구,개포2동,34710.3513
강남구,개포4동,16856.2402
송파구,거여1동,12443.2121
송파구,거여2동,19770.0296
강동구,고덕1동,27998.4328
강동구,고덕2동,21882.4948
구로구,고척1동,23853.4779
구로구,고척2동,18741.0436
마포구,공덕동,39045.5847
노원구,공릉1동,40502.8484
노원구,공릉2동,50665.9192
강서구,공항동,32308.6182
광진구,광장동,36488.9541
중구,광희동,16615.1292
종로구,교남동,7856.6439
구로구,구로1동,18334.5351
구로구,구로2동,31441.0081
구로구,구로3동,28055.8886
구로구,구로4동,18218.4487
구로구,구로5동,30274.6792
은평구,구산동,28632.9725
광진구,구의1동,24613.5116
광진구,구의2동,20827.8072
광진구,구의3동,25644.2076
광진구,군자동,24464.2426
성동구,금호1가동,14674.5219
성동구,금호2·3가동,22094.833
성동구,금호4가동,11132.7635
강동구,길동,63522.6842
성북구,길음1동,41171.8437
성북구,길음2동,19075.178
관악구,낙성대동,25721.1527
관악구,난곡동,19383.6294
관악구,난향동,12174.7793
서대문구,남가좌1동,8621.8834
서대문구,남가좌2동,23149.3249
용산구,남영동,8123.1668
관악구,남현동,22830.4221
서초구,내곡동,22020.8593
동작구,노량진1동,33370.5342
동작구,노량진2동,14502.8402
은평구,녹번동,34207.6587
강남구,논현1동,32046.4827
강남구,논현2동,36510.6758
광진구,능동,11974.6989
중구,다산동,13444.838
동대문구,답십리1동,26476.4345
동대문구,답십리2동,23246.4651
영등포구,당산1동,22931.4071
영등포구,당산2동,42236.201
영등포구,대림1동,13820.8902
영등포구,대림2동,17575.9754
영등포구,대림3동,23704.5674
동작구,대방동,44659.5577
은평구,대조동,62640.4964
강남구,대치1동,24920.9909
강남구,대치2동,37675.015
강남구,대치4동,28835.2368
관악구,대학동,29492.1439
마포구,대흥동,17899.8125
강남구,도곡1동,41586.7554
강남구,도곡2동,27572.7636
영등포구,도림동,17464.6589
도봉구,도봉1동,16883.1019
도봉구,도봉2동,18907.9188
마포구,도화동,15498.9074
금천구,독산1동,41526.1068
금천구,독산2동,14470.9846
금천구,독산3동,16740.9254
금천구,독산4동,12828.1272
성북구,돈암1동,12365.5151
성북구,돈암2동,16551.6056
성북구,동선동,23894.0039
중구,동화동,13271.4462
강동구,둔촌1동,32658.2052
강동구,둔촌2동,26987.0791
강서구,등촌1동,22494.9545
강서구,등촌2동,17026.6388
강서구,등촌3동,37169.3261
성동구,마장동,19301.5359
송파구,마천1동,12122.5956
송파구,마천2동,14810.5534
중랑구,망우본동,41118.2132
중랑구,망우3동,12486.8586
마포구,망원1동,21699.8418
마포구,망원2동,17272.0497
중랑구,면목본동,29900.1027
중랑구,면목2동,21598.457
중랑구,면목3·8동,20616.9381
중랑구,면목4동,15967.3616
중랑구,면목5동,12311.4415
중랑구,면목7동,18530.5971
중구,명동,10605.1603
강동구,명일1동,25048.7433
강동구,명일2동,14889.4973
양천구,목1동,32026.8064
양천구,목2동,25712.2734
양천구,목3동,18728.6159
양천구,목4동,19866.928
양천구,목5동,42691.096
종로구,무악동,6454.27
중랑구,묵1동,27920.6465
중랑구,묵2동,17911.1019
영등포구,문래동,32049.8745
송파구,문정1동,24808.2353
송파구,문정2동,31159.0939
관악구,미성동,22444.1473
강북구,미아동,21464.7616
서초구,반포1동,29607.8171
서초구,반포2동,24731.4085
서초구,반포3동,23477.1139
서초구,반포4동,33146.6433
서초구,반포본동,3431.0166
강서구,발산1동,34842.5938
서초구,방배1동,16869.1963
서초구,방배2동,15598.585
서초구,방배3동,25435.6649
서초구,방배4동,25346.3838
서초구,방배본동,18593.3698
송파구,방이1동,15251.8002
송파구,방이2동,34545.6343
도봉구,방학1동,21414.5355
도봉구,방학2동,10810.1062
도봉구,방학3동,24208.2132
강서구,방화1동,34791.2346
강서구,방화2동,23572.1274
강서구,방화3동,15033.4727
강북구,번1동,17692.2156
강북구,번2동,11813.6943
강북구,번3동,15621.4753
용산구,보광동,7934.6533
관악구,보라매동,17586.35
성북구,보문동,17365.9339
종로구,부암동,12449.7864
서대문구,북가좌1동,15329.7743
서대문구,북가좌2동,30988.3067
서대문구,북아현동,47699.6527
은평구,불광1동,30787.3251
은평구,불광2동,22267.199
성동구,사근동,21928.9286
동작구,사당1동,23964.1549
동작구,사당2동,32599.0403
동작구,사당3동,21407.2018
동작구,사당4동,14816.0174
동작구,사당5동,12428.4515
종로구,사직동,11662.0855
강북구,삼각산동,22707.2079
성북구,삼선동,23902.6507
강남구,삼성1동,18161.6857
강남구,삼성2동,35146.652
관악구,삼성동,21089.9473
